Project,工作內容,工作說明,請求協助,夥伴,交付日期,状态,最新更新日期,開始日期,專案進度,PM,專案名稱,Status,Priority,Assignee,Due,Parent-task,Sub-tasks,Summary,Multi-select,夥伴 1,夥伴 2,項目編號,Figma 文件,文本
松下-員工發展平台 (https://www.notion.so/869d49a6530a4e44af14ac2ba75438ba?pvs=21),松下功能開發,1. 合約API功能開發,,Brian,2025/08/26,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),手持pos,"測試項目修正
https://www.notion.so/2162fd085e5f80b4ad53de361f50d9f3?pvs=21",,"Anita, VC, 亮廷",2025/08/01,进行中,,,,,,Not started,,,,,,,,,,,,
納智捷 (https://www.notion.so/1732fd085e5f80669f05cf52a901eb63?pvs=21),調整,"250729
1. 自動抓新訊息  ✅
2. 排程 ✅",,亮廷,2025/08/01,完成,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),投後帳號,投後帳號編輯Bug,,Miles,2025/07/31,完成,,,,,,Not started,,,,,,,,,,,,
公版JustAI客服 (https://www.notion.so/JustAI-1452fd085e5f80e5af58d9a8a51bb868?pvs=21),Rag模式,Word、PDF Rag跳頁加摘要,,Miles,2025/07/30,完成,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),會議,"新需求修正
https://www.notion.so/1e52fd085e5f807c831fdf5bb2638912?pvs=21",,"Anita, Miles",2025/07/29,完成,,,,,,Not started,,,,,,,,,,,,
,Task,"1.8/5 10:00中小企總
2.案件管理系統：與文策院所使用的系統雷同，但附加一些新的功能，例如：讓被投資事業上傳財報、資料繳交提醒信件、資料抓取遲交率及退件率最高的被投資事業等。
3.輔導單位基本資料及問卷成果後台：受輔導單位資料建檔(類似學員資料庫)，並將學員所填寫的問卷結果(類似成績單)倒入這個資料庫，資料建檔及問卷結果，希望盡量不要用人工輸入，而採取資料抓取的方式，目前我們使用的問卷系統是survey cake
4.VPN-今天會對接網管人員
5.等待盤點表單",,"Anita, Jason, Sunny",2025/07/29,未开始,,,,,,Not started,,,,,,,,,,,,
JustAI企業版智能客服 (https://www.notion.so/JustAI-1a62fd085e5f80878e83fdb80588b7d2?pvs=21),信誼多框架規劃,一公司多Chatbot（最好是可以變成Saas的MVP）,,Sam,2025/07/31,未开始,,,,,,Not started,,,,,,,,,,,,
公版JustAI客服 (https://www.notion.so/JustAI-1452fd085e5f80e5af58d9a8a51bb868?pvs=21),客服機器人Saas服務,框架規劃、系統分析、商業分析、競品分析,,Sam,2025/07/31,未开始,,,,,,Not started,,,,,,,,,,,,
,實體課程,發票已開立請款,,Jean,2025/07/29,未开始,,,,,,Not started,,,,,,,,,,,,
,門神設備,Winny 今天會來自取,,Jean,2025/07/29,未开始,,,,,,Not started,,,,,,,,,,,,
松下-員工發展平台 (https://www.notion.so/869d49a6530a4e44af14ac2ba75438ba?pvs=21),松下第二階段開發,"1.  報修表單
2. 報修查詢 ",,Brian,2025/07/29,未开始,,,,,,Not started,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),後台+前台調整,後台的權限控制設定+前台的顏色調整與錯誤修正,,Brian,2025/07/29,未开始,,,,,,Not started,,,,,,,,,,,,
納智捷 (https://www.notion.so/1732fd085e5f80669f05cf52a901eb63?pvs=21),報告分析Bug修復,,,姿樺,2025/08/05,未开始,,,,,,Not started,,,,,,,,,,,,
納智捷 (https://www.notion.so/1732fd085e5f80669f05cf52a901eb63?pvs=21),"1.1 日期篩選+時間、Excel依照日期新到舊排序、Excel換行調整、修改失敗問題排除
1.2 日期篩選+時間、報告生成完出現json、加上中斷功能、移除報告分析進度顯示",測試中,,"Echo, 姿樺",2025/07/31,完成,,,,,,Not started,,,,,,,,,,,,
納智捷 (https://www.notion.so/1732fd085e5f80669f05cf52a901eb63?pvs=21),報告分析調整,,,姿樺,2025/07/31,未开始,,,,,,Not started,,,,,,,,,,,,
納智捷 (https://www.notion.so/1732fd085e5f80669f05cf52a901eb63?pvs=21),一些調整,,,姿樺,2025/07/29,未开始,,,,,,Not started,,,,,,,,,,,,
JustAI翻譯面板 (https://www.notion.so/JustAI-1452fd085e5f80569c79ce404b8e7e00?pvs=21),翻譯加功能,"1.請ing調整 RWD
2.要有帳號管理:兩層",,Echo,2025/08/07,未开始,,,,,,Not started,,,,,,,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),app註冊跟登入有問題,"8/4 APP雙平台已更新
更新項目: 
忘記密碼及新增帳號問題修復 ✅
bug:
8/5 登入錯誤 (API) ✅",,"Echo, 亮廷",2025/08/01,进行中,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),手持測試,調整中,,"Anita, VC, 亮廷, 姿樺",2025/07/28,完成,,,,,,Not started,,,,,,,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),Google Play上架規範處理,將Android升級 SDK 35 (.Net9),,亮廷,2025/07/28,完成,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),UI,"UI已經完成:
1. 登入 ✅
2.商品掃描 ✅
3. 訂單UI調整中 ✅
4.簽收畫面 ✅
-
Pending Tasks:",,亮廷,2025/07/25,完成,,,,,,Not started,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),紘康8/13 Demo內容討論,明天AWS會議詢問能不能改視訊,,Echo,2025/07/30,完成,,,,,,Not started,,,,,,,,,,,,
納智捷 (https://www.notion.so/1732fd085e5f80669f05cf52a901eb63?pvs=21),跑報表會當掉,"7/30調整項目
1.1 日期篩選+時間、Excel依照日期新到舊排序、Excel換行調整、修改失敗問題排除
1.2 日期篩選+時間、報告生成完出現json、加上中斷功能、移除報告分析進度顯示

網站即時分析的部分,會改成排程列表顯示,就不會顯示進度,因為也不知道實際ai處理時間為何,所以就只讓他們看到[處理中/已中斷/完成]這樣的狀態

即時分析 會獨立出來處理,不會和網站掛在一起,避免多人導致網頁出問題,所以才在網頁上只顯示狀態",,Echo,2025/07/30,完成,,,,,,Not started,,,,,,,,,,,,
派工1999維護 (https://www.notion.so/1999-ed0a1bbc637b4e83945ea40e71b9475a?pvs=21),派工資安檢測,03-8228229,,Echo,2025/07/30,完成,,,,,,Not started,,,,,,,,,,,,
納智捷 (https://www.notion.so/1732fd085e5f80669f05cf52a901eb63?pvs=21),每週進度報告,"文案會先打好,明天請假,請anita協助發送",,"Anita, Echo",2025/07/24,完成,,,,,,Not started,,,,,,,,,,,,
,簡報,"1.美光簡報
2.製造要簡報調整",,Anita,2025/07/24,未开始,,,,,,Not started,,,,,,,,,,,,
大南方智慧餐飲 (https://www.notion.so/1f22fd085e5f80f0ba46c24610ea26c0?pvs=21),使用者前台,訂購機制修改，訂購即完成,,Miles,,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),委員名單,委員名單轉檔,,Miles,2025/07/24,未开始,,,,,,Not started,,,,,,,,,,,,
大南方智慧餐飲 (https://www.notion.so/1f22fd085e5f80f0ba46c24610ea26c0?pvs=21),總後台DashBoard,總後台DashBoard改版,,Miles,2025/07/24,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),Task,新需求修正測試上正式端,,"Anita, Miles",2025/07/24,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),Task,1.廠商測試回覆,,Anita,2025/07/17,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),Task,"1.測試＆回報
2.vpn
3.預計8/5入帳",,"Anita, Jason, Miles",2025/07/17,未开始,,,,,,Not started,,,,,,,,,,,,
大企室內裝修 (https://www.notion.so/2172fd085e5f802dab6de41194b31770?pvs=21),簡報,簡報製作中,,Anita,2025/07/10,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),新增需求,250401-2506新需求可開發票,,Anita,2025/07/10,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),新增需求,250604測試,,"Anita, Miles",2025/07/10,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),手持pos機,流程確認+影片,,"Anita, VC",2025/07/10,未开始,,,,,,Not started,,,,,,,,,,,,
數位課程 規劃及推廣 (商業署補助) (https://www.notion.so/2162fd085e5f80a18138c9b7b05ddee6?pvs=21),業者簡報,https://www.canva.com/design/DAGsikUwMiU/EpVvSWIKytUd69LGsGcATg/edit,,Anita,2025/07/08,未开始,,,,,,Not started,,,,,,,,,,,,
,傳藝園區,"新增一套智能客服
domain name：px-sunmake

https://www.px-sunmake.org.tw/",,"Brian, Echo, Jason",2025/07/24,完成,,,,,,Not started,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),頁面確認,三份word+一份HR,,Echo,2025/07/24,完成,,,,,,Not started,,,,,,,,,,,,
松下-員工發展平台 (https://www.notion.so/869d49a6530a4e44af14ac2ba75438ba?pvs=21),第二階段進度,開會討論,,"Brian, Echo",2025/07/24,未开始,,,,,,Not started,,,,,,,,,,,,
納智捷 (https://www.notion.so/1732fd085e5f80669f05cf52a901eb63?pvs=21),報表分析timeout排除,,,姿樺,2025/07/24,未开始,,,,,,Not started,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),前端與後端的調整,"後端
1. Company/Intro 的 刪除調整
2. Company/Quality的 刪除調整
3. Company/Responsibility的 刪除調整
4. Customer/Question 的第一層分類點選設置+刪除設置
5. Company/Service的 刪除調整
6. Education/CourseInfoNew 分類必填設置
7. Education/EsgManage分類必填設置
8. Home/Apps 表格調整+刪除調整
9. Home/Footer表格調整+刪除調整
10. Home/Icons表格調整+刪除調整
11. Home/Images表格調整+刪除調整
12. Home/Marquee表格調整+刪除調整
13. Home/OurProds表格調整+刪除調整
14. HR/Benefit+/Environment+/File表格調整+完成視窗
15. HR/Recruit表格調整+刪除調整+完成視窗
16. Investor/InvestorManage 分類必填設置
17. Product/Battery + /Capacitive +/MixedSingal+ Tool/ToolList表格調整+刪除調整
18.Product/Declare + /Guide +/Notifaction + /QA  +Tool/ToolInfo表格調整
19. Tool/ToolType 表格調整+刪除+分類必填

前端
1. /Customer/Question的排序顯示調整+顏色調整
2. /Investor/InvestorManage + /HR/Recruit/ + /Esg/EsgManage 的手機畫面顯示調整成錨點
3. /Education/RegistrationInfo/ + /Customer/Service的顏色調整
4. 圖文編輯器的表格功能",,Brian,2025/07/24,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),API串接,"API流程處理
-
Completed Tasks:
1. 登入 ✅
2.商店列表 ✅
3.搜尋客戶 ✅
4.搜尋商品 ✅
5.新增、修改銷貨單 ✅
6. 銷貨單列表、明細 ✅
7. 簽收（簽名圖檔）✅
In Process：",,亮廷,2025/07/24,完成,,,,,,Not started,,,,,,,,,,,,
,實體課程,集思北科大會議中心-202噶瑪廳（台北市大安區忠孝東路三段1號2樓(億光大樓),,Jean,2025/07/24,未开始,,,,,,Not started,,,,,,,,,,,,
松下-員工發展平台 (https://www.notion.so/869d49a6530a4e44af14ac2ba75438ba?pvs=21),通知開發票,第一階段開尾款發票,,"Echo, Jean",2025/07/23,未开始,,,,,,Not started,,,,,,,,,,,,
iii Find科技服務工具 (https://www.notion.so/iii-Find-1842fd085e5f80daa2c0daaab0290832?pvs=21),更新報價單,"輔導案一家一萬,共十家
每家帶20個業者",,Echo,2025/07/23,未开始,,,,,,Not started,,,,,,,,,,,,
信誼 (https://www.notion.so/2232fd085e5f80639259cdd7d06081cc?pvs=21),報價單,有兩份：有建置費/月租,,"Echo, Jean, Sam",2025/07/23,未开始,,,,,,Not started,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),通知AWS啟用,2025/8/1~2026/7/31,,Echo,2025/07/23,未开始,,,,,,Not started,,,,,,,,,,,,
,交接,"週三下午
1.AI課程
2.移工旅遊",,Echo,2025/07/23,未开始,,,,,,Not started,,,,,,,,,,,,
宇豐_餐盤辨視軟體 (https://www.notion.so/_-1d62fd085e5f80a0bf6af7c909ec7f1e?pvs=21),測試新桌板,提供新圖片請姿樺重新訓練,,Jason,2025/07/23,未开始,,,,,,Not started,,,,,,,,,,,,
信誼 (https://www.notion.so/2232fd085e5f80639259cdd7d06081cc?pvs=21),信誼,製作簡報,,Sam,2025/07/23,未开始,,,,,,Not started,,,,,,,,,,,,
,發票開立,"松下第一階段 第二期款～發票已開,已提供給尚淮",,Jean,2025/07/23,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),Task,"1.文策院測試回報
2.vpn:
葉丞軒
中華民國全國中小企業總會（NASME）
02-2366-0812 分機262",,Anita,2025/07/22,未开始,,,,,,Not started,,,,,,,,,,,,
信誼 (https://www.notion.so/2232fd085e5f80639259cdd7d06081cc?pvs=21),簡報修改,claude圖 修改,,Anita,2025/07/22,未开始,,,,,,Not started,,,,,,,,,,,,
松下-員工發展平台 (https://www.notion.so/869d49a6530a4e44af14ac2ba75438ba?pvs=21),智能客服教育訓練,PM0200在松下,,Echo,2025/07/22,未开始,,,,,,Not started,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),三個word內容調整確認,陸續確認中,,"Brian, Echo, Ing",2025/07/21 → 2025/07/22,未开始,,,,,,Not started,,,,,,,,,,,,
國防畢業生問卷 (https://www.notion.so/2232fd085e5f80248156c69bb75c830c?pvs=21),內容調整,"網頁需修改的內容:
首頁: 最上方學校logo
替換圖檔
https://wwwndmc.ndmctsgh.edu.tw/files/web/192/file_up/100002/13820/%E5%9C%8B%E9%98%B2%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8_%E6%9B%B8%E6%B3%95%E9%AB%94.png

修正文字:
首頁:
畢業滿一年:112學年度畢業生
畢業滿三年:110學年度畢業生
.
Questionair/Index
國防醫學院院長 改為 國防醫學大學校長",,Jason,2025/07/22,未开始,,,,,,Not started,,,,,,,,,,,,
松下-員工發展平台 (https://www.notion.so/869d49a6530a4e44af14ac2ba75438ba?pvs=21),松下教育訓練資料整理,官網的內容,,Echo,2025/07/21,未开始,,,,,,Not started,,,,,,,,,,,,
松下-員工發展平台 (https://www.notion.so/869d49a6530a4e44af14ac2ba75438ba?pvs=21),松下,松下頁面確認,,"Echo, Ing",2025/07/10,未开始,,,,,,Not started,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),"約會議-下週一1530到新竹 ","1-AWS--正式區，
放內網--開發區
註:(放在新竹sisq12伺服器，不對外，須到府安裝測試區)

2.網域可用暫時名稱，http://xn--www-628dt10p.sis.com/

3.請問官網憑證是誰發的?  (.com+.com.tw希望憑證都有效)
->若.com.tw能直接轉.com只需一個憑證

4.HR是否要修正 (要再問HR的意見)

5.crm放ams會另外找喬思齊談",,"Echo, Sunny",2025/07/10,未开始,,,,,,Not started,,,,,,,,,,,,
國防畢業生問卷 (https://www.notion.so/2232fd085e5f80248156c69bb75c830c?pvs=21),國防,"國防內部已送簽,後續請jason接手處理
7/22交付",,"Echo, Jason",2025/07/10,未开始,,,,,,Not started,,,,,,,,,,,,
國防畢業生問卷 (https://www.notion.so/2232fd085e5f80248156c69bb75c830c?pvs=21),更新內容名稱,待威成提供,,Jason,2025/07/22,未开始,,,,,,Not started,,,,,,,,,,,,
陸軍專科學校  體育科 室內高球模擬器 建置 (https://www.notion.so/2162fd085e5f80cfa72dc43800c2c4cb?pvs=21),陸軍官校改報價,"案名：室內擊球、射擊情境模擬教室

序號1:品名改成擊球模擬器
序號2:品名改成情境軟體
序號12:規格1:1國軍現役（刪除）模擬槍，搭載雷射發射器，可換彈匣後座力（保留）
序號13:規格1:1警用現役（刪除）模擬槍，搭載雷射發射器，可換彈匣後座力（保留）",,"Echo, Sunny",2025/07/10,未开始,,,,,,Not started,,,,,,,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),客服問題,都回覆了,,Echo,2025/07/10,未开始,,,,,,Not started,,,,,,,,,,,,
虎爺溫泉 智能客服 及 數位課程 (商業署補助) (https://www.notion.so/2072fd085e5f806296bcef284ad7fe72?pvs=21),簡報,https://www.canva.com/design/DAGrWwosUyM/QGCqadTz-XfbuHjTBmPTFw/edit?utm_content=DAGrWwosUyM&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,"Anita, Echo",2025/07/08,未开始,,,,,,Not started,,,,,,,,,,,,
智能客服推廣 (https://www.notion.so/2402fd085e5f80db9c1cec357c40cb81?pvs=21),智能客服制式報價單,"一套十萬（月租第一年免費）
次年每月2000元吃到飽(需年繳)",,"Echo, 小溫",2025/07/31,进行中,,,,,,Not started,,,,,,,,,,,,
行銷 (https://www.notion.so/1292fd085e5f806fbb42dcc6d3dd8fef?pvs=21),canva課綱編寫,進行中,,"Sunny, 小溫",2025/06/06,未开始,,,,,,Not started,,,,,,,,,,,,
行銷 (https://www.notion.so/1292fd085e5f806fbb42dcc6d3dd8fef?pvs=21),公司客服行銷影片,已完成,,"Sunny, 小溫",2025/06/10,完成,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),影片,解析度問題,,"Anita, 小溫",2025/07/08,未开始,,,,,,Not started,,,,,,,,,,,,
龍爵士 (https://www.notion.so/1842fd085e5f802f8bdaddf702aabe8f?pvs=21),語音截取,找工具,,小溫,2025/07/08,未开始,,,,,,Not started,,,,,,,,,,,,
,公司icon,做一個,,小溫,2025/07/08,未开始,,,,,,Not started,,,,,,,,,,,,
大南方智慧餐飲 (https://www.notion.so/1f22fd085e5f80f0ba46c24610ea26c0?pvs=21),業者簡報,brfore After 智慧餐飲簡報內容（總部用,,Sam,2025/07/22,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),手持pos 機,研究手持pos流程,,"Anita, VC",2025/07/08,未开始,,,,,,Not started,,,,,,,,,,,,
納智捷 (https://www.notion.so/1732fd085e5f80669f05cf52a901eb63?pvs=21),訊息列表、報表分析調整,,,姿樺,2025/07/22,未开始,,,,,,Not started,,,,,,,,,,,,
納智捷 (https://www.notion.so/1732fd085e5f80669f05cf52a901eb63?pvs=21),調整報表分析,,,姿樺,2025/07/17,未开始,,,,,,Not started,,,,,,,,,,,,
納智捷 (https://www.notion.so/1732fd085e5f80669f05cf52a901eb63?pvs=21),報表分析、歷史紀錄問題排除,,,姿樺,2025/07/15,未开始,,,,,,Not started,,,,,,,,,,,,
納智捷 (https://www.notion.so/1732fd085e5f80669f05cf52a901eb63?pvs=21),後台報表分析、歷史紀錄,,,姿樺,2025/07/10,未开始,,,,,,Not started,,,,,,,,,,,,
納智捷 (https://www.notion.so/1732fd085e5f80669f05cf52a901eb63?pvs=21),後台建置,,,姿樺,2025/07/08,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),發票測試,測試中,,"Anita, VC, 姿樺",2025/07/03,未开始,,,,,,Not started,,,,,,,,,,,,
松下-員工發展平台 (https://www.notion.so/869d49a6530a4e44af14ac2ba75438ba?pvs=21),松下需求,"下載專區：分類-PDF/影片專區
活動頁版型製作",,"Brian, Echo, Ing",2025/07/08,未开始,,,,,,Not started,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),線上報名設置及調整,"1. 線上報名進度50%
2. 產品資訊更新",,Brian,2025/07/01,未开始,,,,,,Not started,,,,,,,,,,,,
派工1999維護 (https://www.notion.so/1999-ed0a1bbc637b4e83945ea40e71b9475a?pvs=21),維護問題,已解決*2,,Brian,2025/07/01,未开始,,,,,,Not started,,,,,,,,,,,,
松下-員工發展平台 (https://www.notion.so/869d49a6530a4e44af14ac2ba75438ba?pvs=21),昨天已開會,裡面已附上PDF檔案,,Brian,2025/07/08,未开始,,,,,,Not started,,,,,,,,,,,,
